HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
DIAMOND,NV0609,168950,43009,145388,20666,151,,110,,0,,0,,,July 2004,2004
DIAMOND HILLS NORTH,NV0104,70550,984,70550,984,36,,45,,0,,0,,,August 2004,2004
DIAMOND HILLS SOUTH,NV0412,20915,0,20915,0,22,,15,,0,,0,,,July 2004,2004
DOGSKIN MOUNTAINS,NV0302,6497,27,6497,27,15,,12,,0,,0,,,December 2005,2006
DRY LAKE,NV0410,491675,2696,491675,2696,94,,85,,0,,0,,,August 2003,2003
EL DORADO MOUNTAINS,NV0501,15039,80184,15031,1490,0,,0,,0,,6,,,September 2000,
FISH CREEK,NV0612,266193,4189,250331,2495,180,,57,,0,,1,,,January 2006,2006
FISH LAKE VALLEY,NV0622,63830,3294,63797,3288,54,,36,,0,,0,,,January 2005,2005
FLANIGAN,NV0301,16260,887,16260,887,125,,88,,0,,0,,,August 2001,2001
FOX-LAKE RANGE,NV0228,172440,5284,172440,5284,204,,137,,0,,0,,,January 2005,2005
GARFIELD FLAT,NV0313,125423,17292,125423,17292,125,,90,,0,,0,,,August 2005,2005
GOLD BUTTE,NV0502,169224,101986,169204,9239,0,,0,,98,,36,,,March 2006,2006
GOLD MOUNTAIN,NV0628,106524,1114,106524,1114,0,,42,,78,,0,,,August 1996,2001
GOLDFIELD,NV0626,54256,9096,53271,9096,125,,4,,50,,17,,,November 1996,2001
GOSHUTE,NV0108,290153,13017,265272,2005,123,,90,,0,,0,,,January 2005,2005
GRANITE PEAK,NV0303,3981,21,3981,21,18,,14,,0,,0,,,October 2002,2004
GRANITE RANGE,NV0221,90790,13016,90790,13016,258,,181,,0,,0,,,February 2005,2005
HIGHLAND PEAK,NV0522,136090,1785,136091,1784,33,,95,,0,,0,,,October 1996,2004
HORSE MOUNTAIN,NV0308,49570,210,49570,210,95,,0,,0,,0,,,July 2000,2000
HOT CREEK,NV0616,79894,867,54304,353,41,,3,,0,,0,,,January 2006,2006
JACKSON MOUNTAINS,NV0208,275300,8399,275300,8399,217,,262,,0,,0,,,February 2003,2003
JAKES WASH,NV0408,153662,0,153662,0,21,,50,,0,,0,,,August 2004,2004
JOHNNIE,NV0510,177310,2070,177310,2070,0,,30,,108,,248,,,June 2002,
KAMMA MOUNTAINS,NV0214,54410,2980,54410,2980,77,,46,,0,,0,,,November 2005,2006
LAHONTAN,NV0306,6953,2447,6953,2447,10,,32,,0,,0,,,February 2004,2004
LAVA BEDS,NV0215,232928,71,232880,68,148,,89,,16,,16,,,November 2005,2006
LITTLE FISH LAKE,NV0614,113365,2919,28156,583,39,,19,,0,,0,,,September 1998,2001
